,Wavelength (nm),��{YXVN/A�&,2023-01-16 17:40
0,F1(405-425nm),9.36335270938453e-97,9
1,F2(435-455nm),7.105427357601103e-15,45
2,F3(470-490nm),618970019642699000000000000,38
3,F4(505-525nm),174224571863522970000000000000000000000000,80
4,F5(545-565nm),174224571863522970000000000000000000000000,150
5,F6(580-600nm),-13921690556700890000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,107
6,F7(620-640nm),-1188043969781389800000000000000000000000000000000000000000000000000000000,170
7,F8(670-690nm),6.305853780520578e-47,55
8,NIR(900nm),2.5280684753928295e-81,20
